Reference,Formula,Ag,Al,Au,Co,Cr,Cu,Fe,Ir,Mg,Mn,Mo,Ni,Pd,Pt,Rh,Ru,W,Zn,Form,Dimension,Phase,pH,Synthesis method,MagpieData minimum Number,MagpieData mean MendeleevNumber,MagpieData mean NsValence,MagpieData mean NsUnfilled,MagpieData range MeltingT,MagpieData maximum GSvolume_pa,MagpieData mean Number,MagpieData avg_dev NsValence,MagpieData avg_dev Number,MagpieData minimum Electronegativity,MagpieData maximum MeltingT,MagpieData mode NdValence,MagpieData mode Number,MagpieData maximum Number,MagpieData range Electronegativity,MagpieData range CovalentRadius,onset_potential,tafel_slope
10.1002/adma.202302067,Co21Cu11Fe13Ni12Pt44,0.0,0.0,0.0,0.2117647058823529,0.0,0.1058823529411764,0.1294117647058823,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.4352941176470588,0.0,0.0,0.0,0.0,Nanoparticle,0D,FCC,Alkaline,wet impregnation method,26.0,60.7764705882353,1.4588235294117649,0.5411764705882354,683.6300000000001,15.02,49.4,0.4966089965397924,24.89882352941177,1.83,2041.4,9.0,78.0,78.0,0.4499999999999997,12.0,32.0,39.0
10.1002/adma.202302067,Co19Cu12Fe13Ni13Pt43,0.0,0.0,0.0,0.1904761904761905,0.0,0.119047619047619,0.1309523809523809,0.0,0.0,0.0,0.0,0.1309523809523809,0.0,0.4285714285714285,0.0,0.0,0.0,0.0,Nanoparticle,0D,FCC,Alkaline,wet impregnation method,26.0,60.85714285714285,1.4523809523809523,0.5476190476190476,683.6300000000001,15.02,49.09523809523809,0.4954648526077098,24.77551020408163,1.83,2041.4,9.0,78.0,78.0,0.4499999999999997,12.0,47.0,56.0
10.1002/adma.202309715,Co26Mo7Ni28Pt25Ru14,0.0,0.0,0.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.28,0.0,0.246,0.0,0.145,0.0,0.0,Nanoparticle,0D,FCC,Alkaline,wet-chemical co-reduction method,27.0,59.21200000000001,1.5379999999999998,0.462,1168.0,15.69,43.356,0.497112,17.231608,1.88,2896.0,8.0,28.0,78.0,0.3999999999999999,30.0,9.5,29.8
10.1002/adma.202403674,Ir15Mo13Rh20Ru29W22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.0,0.0,0.134,0.0,0.0,0.0,0.2,0.291,0.222,0.0,Nanoparticle,0D,FCC,Alkaline, rapid codecomposition ,42.0,55.298,1.3749999999999998,0.6249999999999999,1458.0,16.05,55.641,0.4687499999999999,14.687249999999995,2.16,3695.0,7.0,44.0,77.0,0.1999999999999997,21.0,28.0,51.0
10.1002/adma.202403674,Ir37Rh28Ru35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.35,0.0,0.0,Nanoparticle,0D,FCC,Alkaline, rapid codecomposition ,44.0,58.32,1.37,0.63,502.0,14.21,56.49,0.4662,15.1774,2.2,2739.0,7.0,77.0,77.0,0.0799999999999996,5.0,49.0,65.0
10.1002/adma.202403674,Ir15Mo13Rh20Ru29W22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.0,0.0,0.134,0.0,0.0,0.0,0.2,0.291,0.222,0.0,Nanoparticle,0D,FCC,Acidic, rapid codecomposition ,42.0,55.298,1.3749999999999998,0.6249999999999999,1458.0,16.05,55.641,0.4687499999999999,14.687249999999995,2.16,3695.0,7.0,44.0,77.0,0.1999999999999997,21.0,14.0,27.0
10.1002/adma.202403674,Ir37Rh28Ru35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.35,0.0,0.0,Nanoparticle,0D,FCC,Acidic, rapid codecomposition ,44.0,58.32,1.37,0.63,502.0,14.21,56.49,0.4662,15.1774,2.2,2739.0,7.0,77.0,77.0,0.0799999999999996,5.0,25.0,46.0
10.1002/admi.201900015,Au20Pd20Pt20Rh20Ru20,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,Nanoparticle,0D,FCC,Alkaline, Ultrasonication-Assisted Wet Chemistry,44.0,61.2,0.8,0.8,1269.67,16.7,58.4,0.3199999999999999,16.080000000000002,2.2,2607.0,7.0,44.0,79.0,0.3399999999999998,10.0,95.3,62.0
10.1002/advs.202105808,Co10Cu70Fe10Ni10,0.0,0.0,0.0,0.1,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Large-perforated dendritic skeleton,3D,FCC,Alkaline,arc-melting,26.0,62.2,1.3,0.7,453.23,11.07,28.4,0.42,0.8400000000000005,1.83,1811.0,10.0,29.0,29.0,0.0799999999999998,8.0,42.2,31.7
10.1002/smll.201904180,Al19Co23Ir23Mo13Ni21,0.0,0.1923076923076923,0.0,0.2307692307692307,0.0,0.0,0.0,0.2307692307692307,0.0,0.0,0.1346153846153846,0.2115384615384615,0.0,0.0,0.0,0.0,0.0,0.0,ultrafine nanopores and nanoligaments,3D,FCC,Acidic,melt spinning,13.0,60.90384615384615,1.865384615384616,0.1346153846153846,1962.53,16.48,38.07692307692308,0.2329881656804733,19.0207100591716,1.61,2896.0,7.0,27.0,77.0,0.5900000000000001,33.0,18.5,33.2
10.1002/smll.202204255,Cu31Fe5Mo9Ni20Pt34Ru1,0.0,0.0,0.0,0.0,0.0,0.31,0.05,0.0,0.0,0.0,0.09,0.2,0.0,0.34,0.0,0.01,0.0,0.0,nanocrystals,0D,FCC,Alkaline, one-pot solvent reduction process,26.0,61.27,1.25,0.75,1538.23,15.69,46.63,0.375,21.3316,1.83,2896.0,9.0,78.0,78.0,0.4499999999999997,30.0,20.0,27.0
10.1002/smll.202204255,Cu34Fe4Mo11Ni10Pt41,0.0,0.0,0.0,0.0,0.0,0.34,0.04,0.0,0.0,0.0,0.11,0.1,0.0,0.41,0.0,0.0,0.0,0.0,nanocrystals,0D,FCC,Alkaline, one-pot solvent reduction process,26.0,61.39,1.14,0.86,1538.23,15.69,50.3,0.2407999999999999,22.714,1.83,2896.0,9.0,78.0,78.0,0.4499999999999997,30.0,51.0,32.0
10.1002/smll.202204255,Cu31Fe5Mo9Ni20Pt34Ru1,0.0,0.0,0.0,0.0,0.0,0.31,0.05,0.0,0.0,0.0,0.09,0.2,0.0,0.34,0.0,0.01,0.0,0.0,nanocrystals,0D,FCC,Acidic, one-pot solvent reduction process,26.0,61.27,1.25,0.75,1538.23,15.69,46.63,0.375,21.3316,1.83,2896.0,9.0,78.0,78.0,0.4499999999999997,30.0,9.0,24.0
10.1002/smll.202204255,Cu34Fe4Mo11Ni10Pt41,0.0,0.0,0.0,0.0,0.0,0.34,0.04,0.0,0.0,0.0,0.11,0.1,0.0,0.41,0.0,0.0,0.0,0.0,nanocrystals,0D,FCC,Acidic, one-pot solvent reduction process,26.0,61.39,1.14,0.86,1538.23,15.69,50.3,0.2407999999999999,22.714,1.83,2896.0,9.0,78.0,78.0,0.4499999999999997,30.0,12.0,27.0
10.1002/smll.202309819,Cu24Fe26Ni25Pt10Rh15,0.0,0.0,0.0,0.0,0.0,0.24,0.26,0.0,0.0,0.0,0.0,0.25,0.0,0.1,0.15,0.0,0.0,0.0,Nanoparticle,0D,FCC,Alkaline,one-pot reaction,26.0,60.06,1.51,0.49,879.23,15.02,35.27,0.4998,11.465000000000002,1.83,2237.0,6.0,26.0,78.0,0.4499999999999997,18.0,13.0,29.8
10.1002/smll.202309819,Ni49Pt21Rh30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4874874874874875,0.0,0.2112112112112112,0.3013013013013013,0.0,0.0,0.0,Nanoparticle,0D,FCC,Alkaline,one-pot reaction,28.0,60.81981981981982,1.4874874874874875,0.5125125125125125,509.0,15.02,43.68268268268269,0.4996868740612484,15.290223156089022,1.91,2237.0,8.0,28.0,78.0,0.3699999999999999,18.0,22.0,35.1
10.1002/smll.202311631,Ir22Pd17Pt25Rh22Ru14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.17,0.25,0.22,0.14,0.0,0.0,Nanoparticle,0D,Amorphous,Acidic,wet-chemical synthesis method ,44.0,60.31,1.05,0.61,910.95,15.02,60.32,0.418,16.1792,2.2,2739.0,9.0,78.0,78.0,0.0799999999999996,10.0,42.7,22.6
10.1002/smll.202311631,Ir14Pd29Pt22Rh20Ru15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.29,0.22,0.2,0.15,0.0,0.0,Nanoparticle,0D,FCC,Acidic,wet-chemical synthesis method ,44.0,60.44,0.85,0.57,910.95,15.02,56.88,0.493,14.9264,2.2,2739.0,10.0,46.0,78.0,0.0799999999999996,10.0,45.9,23.5
10.1002/smtd.202301691,Al1Co13Cu23Fe14Mn4Ni45,0.0,0.01,0.0,0.13,0.0,0.23,0.14,0.0,0.0,0.04,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,hierarchical porous sandwich structure ,3D,"BCC,FCC",Alkaline,arc melting,13.0,60.22,1.77,0.23,877.53,16.48,27.55,0.3541999999999999,1.0719999999999996,1.55,1811.0,8.0,28.0,29.0,0.3599999999999999,18.0,9.7,56.9
10.1002/smtd.202301691,Al10Co9Cu36Fe8Mn6Ni31,0.0,0.1,0.0,0.09,0.0,0.36,0.08,0.0,0.0,0.06,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,hierarchical porous sandwich structure ,3D,"BCC,FCC",Alkaline,arc melting,13.0,61.99,1.64,0.36,877.53,16.48,26.43,0.4608,2.926400000000001,1.55,1811.0,10.0,29.0,29.0,0.3599999999999999,18.0,32.7,112.4
10.1002/smtd.202301691,Al17Co12Cu23Fe11Mn10Ni27,0.0,0.17,0.0,0.12,0.0,0.23,0.11,0.0,0.0,0.1,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,hierarchical porous sandwich structure ,3D,"BCC,FCC",Alkaline,arc melting,13.0,61.81,1.77,0.23,877.53,16.48,25.04,0.3541999999999999,4.1016,1.55,1811.0,8.0,28.0,29.0,0.3599999999999999,18.0,71.3,113.1
10.1002/smtd.202301691,Al14Co12Cu26Fe11Mn8Ni29,0.0,0.14,0.0,0.12,0.0,0.26,0.11,0.0,0.0,0.08,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,hierarchical porous sandwich structure ,3D,"BCC,FCC",Alkaline,arc melting,13.0,61.72,1.74,0.26,877.53,16.48,25.58,0.3848,3.615200000000001,1.55,1811.0,8.0,28.0,29.0,0.3599999999999999,18.0,144.0,115.7
10.1002/smtd.202301691,Al15Co11Cu27Fe10Mn9Ni28,0.0,0.15,0.0,0.11,0.0,0.27,0.1,0.0,0.0,0.09,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,hierarchical porous sandwich structure ,3D,"BCC,FCC",Alkaline,arc melting,13.0,61.87,1.73,0.27,877.53,16.48,25.44,0.3941999999999999,3.8112,1.55,1811.0,8.0,28.0,29.0,0.3599999999999999,18.0,178.0,135.6
10.1002/smtd.202301691,Al24Co16Cu15Fe16Mn13Ni16,0.0,0.2395760423957604,0.0,0.1640835916408359,0.0,0.1503849615038496,0.1551844815518448,0.0,0.0,0.1293870612938706,0.0,0.1613838616138386,0.0,0.0,0.0,0.0,0.0,0.0,hierarchical porous sandwich structure ,3D,"BCC,FCC",Alkaline,arc melting,13.0,61.73822617738227,1.8496150384961507,0.1503849615038496,877.53,16.48,23.69413058694131,0.2555386497146704,5.124114965765696,1.55,1811.0,0.0,13.0,29.0,0.3599999999999999,18.0,291.0,183.1
10.1002/smtd.202400793,Ag20Au20Cu20Pd20Pt20,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,Nanoparticle,0D,FCC,Alkaline, melt-spinning,29.0,64.0,0.8,0.8,806.47,16.7,55.8,0.3199999999999999,18.16,1.9,2041.4,9.0,29.0,79.0,0.6400000000000001,13.0,20.0,33.0
10.1002/smtd.202400793,Ag14Au14Cu14Ir14Pd14Pt14Ru14,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,Nanoparticle,0D,FCC,Alkaline, melt-spinning,29.0,62.285714285714285,1.0,0.7142857142857143,1504.07,16.7,57.142857142857146,0.2857142857142857,17.877551020408163,1.9,2739.0,7.0,29.0,79.0,0.6400000000000001,14.0,23.0,35.0
10.1002/smtd.202400793,Ag20Au20Cu20Ir20Ru20,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,Nanoparticle,0D,FCC,Alkaline, melt-spinning,29.0,62.2,1.2,0.8,1504.07,16.7,55.2,0.3199999999999999,18.24,1.9,2739.0,7.0,29.0,79.0,0.6400000000000001,14.0,37.0,32.0
10.1002/smtd.202400793,Ag33Au33Cu33,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nanoparticle,0D,FCC,Alkaline, melt-spinning,29.0,65.0,1.0,1.0,122.83999999999992,16.7,51.66666666666666,0.0,18.22222222222222,1.9,1357.77,10.0,29.0,79.0,0.6400000000000001,13.0,363.0,147.0
10.1002/smtd.202400793,Ag20Au20Cu20Pd20Pt20,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,Nanoparticle,0D,FCC,Acidic, melt-spinning,29.0,64.0,0.8,0.8,806.47,16.7,55.8,0.3199999999999999,18.16,1.9,2041.4,9.0,29.0,79.0,0.6400000000000001,13.0,9.5,32.0
10.1002/smtd.202400793,Ag20Au20Cu20Ir20Ru20,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,Nanoparticle,0D,FCC,Acidic, melt-spinning,29.0,62.2,1.2,0.8,1504.07,16.7,55.2,0.3199999999999999,18.24,1.9,2739.0,7.0,29.0,79.0,0.6400000000000001,14.0,11.0,33.0
10.1002/smtd.202400793,Ag14Au14Cu14Ir14Pd14Pt14Ru14,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,Nanoparticle,0D,FCC,Acidic, melt-spinning,29.0,62.285714285714285,1.0,0.7142857142857143,1504.07,16.7,57.142857142857146,0.2857142857142857,17.877551020408163,1.9,2739.0,7.0,29.0,79.0,0.6400000000000001,14.0,18.0,31.0
10.1002/smtd.202400793,Ag33Au33Cu33,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nanoparticle,0D,FCC,Acidic, melt-spinning,29.0,65.0,1.0,1.0,122.83999999999992,16.7,51.66666666666666,0.0,18.22222222222222,1.9,1357.77,10.0,29.0,79.0,0.6400000000000001,13.0,188.0,77.0
10.1002/sus2.56,Co29Cu8Fe14Ni35Pt14,0.0,0.0,0.0,0.2928571428571428,0.0,0.075,0.1428571428571428,0.0,0.0,0.0,0.0,0.3464285714285714,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,Nanoparticle,0D,FCC,Alkaline, ultra-fast shock synthesis,26.0,59.775000000000006,1.7821428571428573,0.2178571428571428,683.6300000000001,15.02,34.63928571428572,0.3407908163265306,12.388775510204088,1.83,2041.4,8.0,28.0,78.0,0.4499999999999997,12.0,13.7,30.6
10.1016/j.apcatb.2022.121431,Co12Ni20Pt32Rh25Ru11,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.32,0.25,0.11,0.0,0.0,ultrathin nanowires,1D,FCC,Alkaline, low-temperature oil phase strategy,27.0,60.23,1.32,0.68,879.0,15.02,49.89,0.4352,17.9904,1.88,2607.0,9.0,78.0,78.0,0.3999999999999999,22.0,18.0,28.7
10.1016/j.apcatb.2022.121431,Co12Ni20Pt32Rh25Ru11,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.32,0.25,0.11,0.0,0.0,ultrathin nanowires,1D,FCC,Acidic, low-temperature oil phase strategy,27.0,60.23,1.32,0.68,879.0,15.02,49.89,0.4352,17.9904,1.88,2607.0,9.0,78.0,78.0,0.3999999999999999,22.0,16.0,27.8
10.1016/j.apcatb.2023.122814,Co7Mo8Pd23Pt35Rh27,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.23,0.35,0.27,0.0,0.0,0.0,ultra-thin nanosheets,2D,FCC,Alkaline,one-step wet chemical strategy,27.0,60.3,0.84,0.7,1128.0,15.69,55.28,0.3864000000000001,15.904000000000002,1.88,2896.0,9.0,78.0,78.0,0.3999999999999999,28.0,16.5,26.8
10.1016/j.apcatb.2023.122814,Co6Mo8Pd34Pt27Rh25,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.34,0.27,0.25,0.0,0.0,0.0,Nanoparticle,0D,FCC,Alkaline,one-step wet chemical strategy,27.0,60.32,0.72,0.6,1128.0,15.69,52.93,0.4896,13.537800000000002,1.88,2896.0,10.0,46.0,78.0,0.3999999999999999,28.0,36.1,38.9
10.1016/j.cej.2022.134898,Co12Fe9Mn25Mo31Ni23,0.0,0.0,0.0,0.12,0.0,0.0,0.09,0.0,0.0,0.25,0.31,0.23,0.0,0.0,0.0,0.0,0.0,0.0,nanoporous ribbons,2D,FCC,Alkaline,melt spinning,25.0,54.44,1.69,0.31,1377.0,15.69,31.29,0.4278,6.6402,1.55,2896.0,5.0,42.0,42.0,0.6100000000000001,30.0,14.0,29.0
10.1016/j.cej.2022.134898,Co14Fe14Mn52Mo6Ni14,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.52,0.06,0.14,0.0,0.0,0.0,0.0,0.0,0.0,nanoporous ribbons,2D,FCC,Alkaline,melt spinning,25.0,54.4,1.94,0.06,1377.0,15.69,26.86,0.1128,2.1752,1.55,2896.0,5.0,25.0,42.0,0.6100000000000001,30.0,322.0,164.0
10.1016/j.cej.2022.137452,Co50Fe11Mn8Ni16W15,0.0,0.0,0.0,0.4975460122699386,0.0,0.0,0.112883435582822,0.0,0.0,0.0822085889570552,0.0,0.161963190184049,0.0,0.0,0.0,0.0,0.1453987730061349,0.0,Nanoparticle,0D,FCC,Acidic,current electrodeposition method,25.0,56.6361963190184,2.0,0.0,2176.0,16.05,33.718404907975454,0.0,11.71378900222063,1.55,3695.0,7.0,27.0,74.0,0.8099999999999998,38.0,15.0,31.0
10.1016/j.cej.2022.137452,Co24Fe34Mn23Ni18,0.0,0.0,0.0,0.243,0.0,0.0,0.341,0.0,0.0,0.233,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,Nanoparticle,0D,FCC,Acidic,current electrodeposition method,25.0,56.128,2.0,0.0,292.0,10.73,26.376,0.0,0.8976479999999997,1.55,1811.0,6.0,26.0,28.0,0.3599999999999999,15.0,193.0,57.0
10.1016/j.electacta.2018.05.035,Co36Cr15Fe20Mo10Ni19,0.0,0.0,0.0,0.356,0.154,0.0,0.1989999999999999,0.0,0.0,0.0,0.0969999999999999,0.1939999999999999,0.0,0.0,0.0,0.0,0.0,0.0,band,3D,FCC,Alkaline, arc-melting under an argon atmosphere,24.0,55.823,1.749,0.251,1168.0,15.69,27.988,0.3759979999999999,2.722983999999998,1.66,2896.0,7.0,27.0,42.0,0.5000000000000002,30.0,172.0,66.0
10.1016/j.electacta.2018.05.035,Co31Cr15Fe13Mo32Ni9,0.0,0.0,0.0,0.307,0.152,0.0,0.131,0.0,0.0,0.0,0.3229999999999999,0.087,0.0,0.0,0.0,0.0,0.0,0.0,band,3D,"FCC,μ ",Alkaline, arc-melting under an argon atmosphere,24.0,53.916,1.5249999999999997,0.475,1168.0,15.69,31.345,0.49875,6.883129999999999,1.66,2896.0,5.0,42.0,42.0,0.5000000000000002,30.0,253.0,96.0
10.1016/j.electacta.2018.05.035,Co36Cr15Fe20Mo10Ni19,0.0,0.0,0.0,0.356,0.154,0.0,0.1989999999999999,0.0,0.0,0.0,0.0969999999999999,0.1939999999999999,0.0,0.0,0.0,0.0,0.0,0.0,band,3D,FCC,Acidic, arc-melting under an argon atmosphere,24.0,55.823,1.749,0.251,1168.0,15.69,27.988,0.3759979999999999,2.722983999999998,1.66,2896.0,7.0,27.0,42.0,0.5000000000000002,30.0,107.0,41.0
10.1016/j.electacta.2018.05.035,Co31Cr15Fe13Mo32Ni9,0.0,0.0,0.0,0.307,0.152,0.0,0.131,0.0,0.0,0.0,0.3229999999999999,0.087,0.0,0.0,0.0,0.0,0.0,0.0,band,3D,"FCC,μ ",Acidic, arc-melting under an argon atmosphere,24.0,53.916,1.5249999999999997,0.475,1168.0,15.69,31.345,0.49875,6.883129999999999,1.66,2896.0,5.0,42.0,42.0,0.5000000000000002,30.0,193.0,89.0
