Reference,Formula,Form,Dimension,Phase,pH,Synthesis method,MagpieData mean NsValence,MagpieData range MeltingT,MagpieData mode NdValence,MagpieData avg_dev NsValence,MagpieData minimum Number,MagpieData mean MendeleevNumber,MagpieData maximum GSvolume_pa,MagpieData maximum MeltingT,MagpieData mean Number,MagpieData range Electronegativity,MagpieData maximum Number,MagpieData avg_dev Number,MagpieData range CovalentRadius,MagpieData mode Number,MagpieData mean NsUnfilled,MagpieData minimum Electronegativity,onset_potential,tafel_slope
10.1002/adfm.202009613,Al20Cu20Fe20Mo20Ni20,monolithic ,3D,BCC,14.0,"alloying/dealloying approach,",1.6,1962.53,0.0,0.48,13.0,60.6,16.48,2896.0,27.6,0.55,42.0,6.48,33.0,13.0,0.4,1.61,9.7,60.0
10.1002/adfm.202009613,Al20Cu20Fe20Mo20Ni20,monolithic ,3D,BCC,7.0,"alloying/dealloying approach,",1.6,1962.53,0.0,0.48,13.0,60.6,16.48,2896.0,27.6,0.55,42.0,6.48,33.0,13.0,0.4,1.61,24.0,50.0
10.1002/adfm.202009613,Al25Cu25Mo25Ni25,monolithic ,3D,BCC,7.0,"alloying/dealloying approach,",1.5,1962.53,0.0,0.5,13.0,62.0,16.48,2896.0,28.0,0.55,42.0,7.5,33.0,13.0,0.5,1.61,53.0,58.0
10.1002/adfm.202009613,Al33Cu33Ni33,monolithic ,3D,BCC,7.0,"alloying/dealloying approach,",1.6666666666666667,794.53,0.0,0.4444444444444444,13.0,66.0,16.48,1728.0,23.33333333333333,0.2999999999999998,29.0,6.888888888888889,11.0,13.0,0.3333333333333333,1.61,202.0,148.0
10.1002/adfm.202110645,Co22Cu19Fe15Ir7Ni26Pt12,Nanoparticle,0D,FCC,14.0,laser pulsed irradiation,1.6918000000000004,1381.23,8.0,0.4264255199999999,26.0,60.1895,15.02,2739.0,36.974900000000005,0.4499999999999997,78.0,15.245607480000004,17.0,28.0,0.3082,1.83,21.0,54.5
10.1002/adfm.202301153,Co19Cu21Fe21Mn19Ni20,bulk,3D,FCC,14.0,modified high-energy ball-milling process,1.7942000000000002,453.23,6.0,0.3268927199999998,25.0,58.0519,11.07,1811.0,27.017299999999995,0.3599999999999999,29.0,1.207193919999999,15.0,26.0,0.2057999999999999,1.55,313.5,180.0
10.1002/adfm.202304963,Cu20Ir5Pd34Pt21Rh20,nanosheet,2D,FCC,14.0,solvothermal method,0.71,1381.23,10.0,0.4828,29.0,61.91,15.02,2739.0,50.67,0.3799999999999999,78.0,14.1116,10.0,46.0,0.61,1.9,15.0,37.0
10.1002/adma.202300091,Co25Ir14Mn24Ni26Zn11,Nanoparticle,0D,FCC,1.0,sol-gel method,2.0,2046.32,8.0,0.0,25.0,58.88211788211788,14.21,2739.0,34.16783216783217,0.6500000000000001,77.0,12.066604723947378,19.0,28.0,0.0,1.55,27.3,30.6
10.1002/adma.202300091,Co23Fe25Ir16Ni24Zn12,Nanoparticle,0D,FCC,1.0,sol-gel method,2.0,2046.32,6.0,0.0,26.0,59.56056056056056,14.21,2739.0,35.54154154154154,0.5500000000000003,77.0,13.611986360735107,19.0,26.0,0.0,1.65,31.8,36.7
10.1002/adma.202300091,Co30Ir23Ni31Zn16,Nanoparticle,0D,FCC,1.0,sol-gel method,2.0,2046.32,8.0,0.0,27.0,61.162,14.21,2739.0,39.194,0.5500000000000003,77.0,17.239536,19.0,28.0,0.0,1.65,32.8,49.5
10.1002/adma.202300091,Ir35Ni45Zn20,Nanoparticle,0D,FCC,1.0,sol-gel method,2.0,2046.32,8.0,0.0,28.0,62.268,14.21,2739.0,45.456,0.5500000000000003,77.0,21.954624,19.0,28.0,0.0,1.65,35.5,59.1
10.1002/adma.202302067,Co21Cu11Fe13Ni13Pt42,Nanoparticle,0D,FCC,14.0,wet impregnation method,1.470588235294118,683.6300000000001,9.0,0.4982698961937716,26.0,60.7529411764706,15.02,2041.4,48.811764705882354,0.4499999999999997,78.0,24.724152249134956,12.0,78.0,0.5294117647058824,1.83,20.0,31.0
10.1002/adma.202302067,Co21Cu11Fe13Ni12Pt44,Nanoparticle,0D,FCC,14.0,wet impregnation method,1.4588235294117649,683.6300000000001,9.0,0.4966089965397924,26.0,60.7764705882353,15.02,2041.4,49.4,0.4499999999999997,78.0,24.89882352941177,12.0,78.0,0.5411764705882354,1.83,32.0,39.0
10.1002/adma.202302067,Co19Cu12Fe13Ni13Pt43,Nanoparticle,0D,FCC,14.0,wet impregnation method,1.4523809523809523,683.6300000000001,9.0,0.4954648526077098,26.0,60.85714285714285,15.02,2041.4,49.09523809523809,0.4499999999999997,78.0,24.77551020408163,12.0,78.0,0.5476190476190476,1.83,47.0,56.0
10.1002/adma.202309715,Co26Mo7Ni28Pt25Ru14,Nanoparticle,0D,FCC,14.0,wet-chemical co-reduction method,1.5379999999999998,1168.0,8.0,0.497112,27.0,59.21200000000001,15.69,2896.0,43.356,0.3999999999999999,78.0,17.231608,30.0,28.0,0.462,1.88,9.5,29.8
10.1002/adma.202403674,Ir15Mo13Rh20Ru29W22,Nanoparticle,0D,FCC,13.0, rapid codecomposition ,1.3749999999999998,1458.0,7.0,0.4687499999999999,42.0,55.298,16.05,3695.0,55.641,0.1999999999999997,77.0,14.687249999999995,21.0,44.0,0.6249999999999999,2.16,28.0,51.0
10.1002/adma.202403674,Ir37Rh28Ru35,Nanoparticle,0D,FCC,13.0, rapid codecomposition ,1.37,502.0,7.0,0.4662,44.0,58.32,14.21,2739.0,56.49,0.0799999999999996,77.0,15.1774,5.0,77.0,0.63,2.2,49.0,65.0
10.1002/adma.202403674,Ir15Mo13Rh20Ru29W22,Nanoparticle,0D,FCC,1.0, rapid codecomposition ,1.3749999999999998,1458.0,7.0,0.4687499999999999,42.0,55.298,16.05,3695.0,55.641,0.1999999999999997,77.0,14.687249999999995,21.0,44.0,0.6249999999999999,2.16,14.0,27.0
10.1002/adma.202403674,Ir37Rh28Ru35,Nanoparticle,0D,FCC,1.0, rapid codecomposition ,1.37,502.0,7.0,0.4662,44.0,58.32,14.21,2739.0,56.49,0.0799999999999996,77.0,15.1774,5.0,77.0,0.63,2.2,25.0,46.0
10.1002/admi.201900015,Au20Pd20Pt20Rh20Ru20,Nanoparticle,0D,FCC,14.0, Ultrasonication-Assisted Wet Chemistry,0.8,1269.67,7.0,0.3199999999999999,44.0,61.2,16.7,2607.0,58.4,0.3399999999999998,79.0,16.080000000000002,10.0,44.0,0.8,2.2,95.3,62.0
